metric,value,threshold,dataset,name,depth,sample,index,recon_steps,recon_min,recon_max,recon_wavelength,recon_resolution,dilation,resolver,min_size,iters
roc,0.0896362045255657,0.013927828524916343,Low Concentration,60k,,,,,,,,,,,,
roc,0.09138642330291287,0.013927828524916343,Low Concentration,60k,,,,,,,,,,,,
roc,0.09138642330291287,0.014018268969883332,Low Concentration,60k,,,,,,,,,,,,
roc,0.09276159519939993,0.014018268969883332,Low Concentration,60k,,,,,,,,,,,,
roc,0.09276159519939993,0.014108709414850321,Low Concentration,60k,,,,,,,,,,,,
roc,0.09313664208026003,0.014108709414850321,Low Concentration,60k,,,,,,,,,,,,
roc,0.09313664208026003,0.01419914985981731,Low Concentration,60k,,,,,,,,,,,,
roc,0.09376172021502688,0.01419914985981731,Low Concentration,60k,,,,,,,,,,,,
roc,0.09376172021502688,0.0142895903047843,Low Concentration,60k,,,,,,,,,,,,
roc,0.09501187648456057,0.0142895903047843,Low Concentration,60k,,,,,,,,,,,,
roc,0.09501187648456057,0.014380030749751289,Low Concentration,60k,,,,,,,,,,,,
roc,0.09588698587323416,0.014380030749751289,Low Concentration,60k,,,,,,,,,,,,
roc,0.09588698587323416,0.014470471194718278,Low Concentration,60k,,,,,,,,,,,,
roc,0.09763720465058132,0.014470471194718278,Low Concentration,60k,,,,,,,,,,,,
roc,0.09763720465058132,0.014560911639685268,Low Concentration,60k,,,,,,,,,,,,
roc,0.09888736092011502,0.014560911639685268,Low Concentration,60k,,,,,,,,,,,,
roc,0.09888736092011502,0.014651352084652257,Low Concentration,60k,,,,,,,,,,,,
roc,0.09988748593574197,0.014651352084652257,Low Concentration,60k,,,,,,,,,,,,
roc,0.09988748593574197,0.014741792529619246,Low Concentration,60k,,,,,,,,,,,,
roc,0.1013876734591824,0.014741792529619246,Low Concentration,60k,,,,,,,,,,,,
roc,0.1013876734591824,0.014832232974586235,Low Concentration,60k,,,,,,,,,,,,
roc,0.10188773596699588,0.014832232974586235,Low Concentration,60k,,,,,,,,,,,,
roc,0.10188773596699588,0.014922673419553225,Low Concentration,60k,,,,,,,,,,,,
roc,0.10363795474434304,0.014922673419553225,Low Concentration,60k,,,,,,,,,,,,
roc,0.10363795474434304,0.015013113864520214,Low Concentration,60k,,,,,,,,,,,,
roc,0.10413801725215652,0.015013113864520214,Low Concentration,60k,,,,,,,,,,,,
roc,0.10413801725215652,0.015103554309487203,Low Concentration,60k,,,,,,,,,,,,
roc,0.10476309538692337,0.015103554309487203,Low Concentration,60k,,,,,,,,,,,,
roc,0.10476309538692337,0.015193994754454192,Low Concentration,60k,,,,,,,,,,,,
roc,0.1053881735216902,0.015193994754454192,Low Concentration,60k,,,,,,,,,,,,
roc,0.1053881735216902,0.015284435199421182,Low Concentration,60k,,,,,,,,,,,,
roc,0.10601325165645706,0.015284435199421182,Low Concentration,60k,,,,,,,,,,,,
roc,0.10601325165645706,0.015374875644388171,Low Concentration,60k,,,,,,,,,,,,
roc,0.10838854856857107,0.015374875644388171,Low Concentration,60k,,,,,,,,,,,,
roc,0.10838854856857107,0.01546531608935516,Low Concentration,60k,,,,,,,,,,,,
roc,0.11026378297287161,0.01546531608935516,Low Concentration,60k,,,,,,,,,,,,
roc,0.11026378297287161,0.01555575653432215,Low Concentration,60k,,,,,,,,,,,,
roc,0.11051381422677835,0.01555575653432215,Low Concentration,60k,,,,,,,,,,,,
roc,0.11051381422677835,0.015827077869223116,Low Concentration,60k,,,,,,,,,,,,
roc,0.11101387673459183,0.015827077869223116,Low Concentration,60k,,,,,,,,,,,,
roc,0.11101387673459183,0.015917518314190107,Low Concentration,60k,,,,,,,,,,,,
roc,0.11376422052756595,0.015917518314190107,Low Concentration,60k,,,,,,,,,,,,
roc,0.11376422052756595,0.016007958759157094,Low Concentration,60k,,,,,,,,,,,,
roc,0.11388923615451932,0.016007958759157094,Low Concentration,60k,,,,,,,,,,,,
roc,0.11388923615451932,0.016098399204124085,Low Concentration,60k,,,,,,,,,,,,
roc,0.11951493936742093,0.016098399204124085,Low Concentration,60k,,,,,,,,,,,,
roc,0.11951493936742093,0.016188839649091073,Low Concentration,60k,,,,,,,,,,,,
